,name,CIN,NIC,amount
776,Jsw Infrastructure Limited,U45200MH2006PLC161268,45.0,3650000
777,Jsw Power Trading Company Limited,U40100MH2005PLC154613,40.0,2600000
778,Jsw Praxair Oxygen Private Limited,U85110KA1995PTC018868,86.0,300000
779,Jsw Steel Limited,L27102MH1994PLC152925,27.0,73600000
780,Jubilant Energy Private Limited,U74999UP1991PTC035741,74.0,0
781,Jubilant Foodworks Limited,L74899UP1995PLC043677,74.0,1622000
782,Juniper Networks India Private Limited,U72200MH2000FTC126336,,3301778
783,Jupiter Laminators Private Limited,U21022DL2003PTC119318,,0
784,Jupiter Life Line Hospitals Limited,U85100MH2002PLC137908,,0
785,Jyoti Ceramic Industries Private Limited,U99999MH1973PTC016635,,11000000
786,K M Dastur Reinsurance Brokers Private Limited,U65999MH1991PTC059906,65.0,2603376
787,K P Sanghvi International Private Limited,U51398MH1992PTC069038,,4150000
788,K Patel Chemo-Pharma Private Limited,U24299GJ1974PTC002632,,1193000
789,K-12 Education Management Private Limited,U80901TG2009PTC065079,80.0,0
790,K.P.R. Mill Limited,L17111TZ2003PLC010518,17.0,415000
791,Kabra Extrusion Technik Ltd,L28900MH1982PLC028535,28.0,3000000
792,Kajaria Ceramics Limited,L26924HR1985PLC056150,,1800000
793,Kakatiya Cement Sugar And Industries Limited,L26942TG1979PLC002485,,1143000
794,Kakinada Seaports Limited,U24239AP1998PLC098093,,565910
795,Kalamandir Jewellers Limited,U36911MH2009PLC269643,,4000000
796,Kaleesuwari Refinery Private Limited,U15142TN1984PTC010763,,2500000
797,Kallam Spinning Mills Ltd,L18100AP1992PLC013860,14.0,2240647
798,Kalpataru Power Transmission Limited,L40100GJ1981PLC004281,40.0,16836000
799,Kals Distilleries Private Limited,U15511TN2007PTC065347,,1179000
800,Kalyan Silks Trichur Private Limited,U51311KL2001PTC014624,,2004278
801,Kanam Latex Industries Pvt Ltd,U25199KL1974PTC002650,,5393350
802,Kandagiri Spinning Mills Limited,L17111TZ1976PLC000762,17.0,0
803,Kanoria Chemicals & Industries Ltd,L24110WB1960PLC024910,20.0,960000
804,Kanpur Plastipack Limited,L25209UP1971PLC003444,25.0,0
805,Karnataka Antibiotics And Pharmaceuticals Limited,U24231KA1981GOI004145,21.0,1705000
806,Karnataka Plastoo Industries Private Limited,U25200KA1971PTC002098,,2
807,Karvy Computershare Private Limited,U72400TG2003PTC041636,,2545000
808,Kaveri Seed Company Ltd.,L01120AP1986PLC006728,1.0,10115105
809,Kaynes Technology India Private Limited,U29128KA2008PTC045825,,1744064
810,Kc Maritime (India) Limited,U63032MH1997PLC109979,63.0,2500000
811,Kec International Limited,L45200MH2005PLC152061,45.0,3950000
812,Keerthi Estates Private Limited,U70101TG1994PTC018980,,1535606
813,Kennametal India Limited,L27109KA1964PLC001546,27.0,6772000
814,Kennametal Shared Services Private Limited,U64202KA2005PTC035759,,750000
815,Kerala State Backward Classes Development Corporation Limited,,,7100000
816,Kesar Terminals & Infrastructure Limited,L45203MH2008PLC178061,45.0,1387000
817,Kewal Kiran Clothing Limited,L18101MH1992PLC065136,14.0,2000000
818,Kewaunee Labway India Private Limited,U33125KA2000PTC028202,,299000
819,Keystone Infra Private Limited,U45200TG2005PTC045334,,0
820,Kf Bioplants Private Limited,U01122MH1997PTC106620,,1400000
821,Khandwala Enterprise Private Limited,U51909GJ2004PTC069573,,1300000
822,Kifs Securities Private Limited,U65910GJ1995PTC084677,,1192000
823,Kikani Exports Private Limited,U05110TZ2000PTC009278,,2250000
824,Kiran Gems Private Limited,U36912MH2007PTC174133,36.0,0
825,Kiranmani Diamonds Private Limited,U36911MH2003PTC142557,,0
826,Kirloskar Brothers Investments Limited,L65999PN2009PLC133794,65.0,4500000
827,Kirloskar Brothers Limited,L29113PN1920PLC000670,29.0,4500000
828,Kirloskar Ferrous Industries Ltd,L27101PN1991PLC063223,27.0,3757689
829,Kirloskar Industries Limited,L29112PN1978PLC088972,29.0,5500000
830,Kirtivardhan Finvest Services Limited,U65999WB1994PLC064358,65.0,800000
831,Kitex Childrenswear Limited,U18101KL1991PLC006048,,14290320
832,Kitex Garments Limited,L18101KL1992PLC006528,14.0,14814213
833,Kmv Projects Limited,U45400TG2007PLC053432,,60000
834,Knr Constructions Limited,L74210DL1995PLC238364,74.0,1231000
835,Koch Chemical Technology Group India Private Limited,U29199MH1994PTC079939,29.0,7403891
836,Kog-Ktv Food Products (India) Private Limited,U15142TN2004PTC068598,10.0,2520000
837,Komatsu India Private Limited,U29244TN2005PTC058357,29.0,590991
838,Kone Elevator India Private Limited,U29141TN1984FTC010913,29.0,42000000
839,Koshambh Multitred Pvt Ltd,U74999GJ1995PTC025198,,1663000
840,Kotak Mahindra Bank Limited,L65110MH1985PLC038137,64.0,8728000
841,Kotak Mahindra Investments Limited,U65900MH1988PLC047986,65.0,922000
842,Kotak Mahindra Prime Limited,U67200MH1996PLC097730,67.0,574200
843,Kothari Metals Ltd,U28113WB1977PLC031033,,2325000
844,Kothari Products Limited.,L16008UP1983PLC006254,12.0,15210426
845,Kpit Technologies Limited,L72200PN1990PLC059594,72.0,27213863
846,Kpl Exports Private Limited,U74900UP2008PTC035118,74.0,0
847,Kpmg Global Delivery Center Private Limited,U74110KA2003PTC031646,,21
848,Kpmg Global Services Private Limited,U74140HR2010PTC041413,,8584600
849,Kpmg Resource Centre Private Limited,U74140MH2005PTC153503,,597000
850,Kriti Industries (India)Limited,L25206MP1990PLC005732,25.0,87000
851,Kriti Nutrients Limited,L24132MP1996PLC011245,20.0,0
852,Kse Limited,L15331KL1963PLC002028,10.0,30
853,Kuantum Papers Limited,L21012PB1997PLC035243,17.0,2795000
854,Kumar Organic Products Limited,U85110KA1991PLC012095,,483000
855,Kumar Properties And Real Estate Private Limited,U45202PN1994PTC077842,,4610000
856,Kumaragiri Spinnerss Private Limited,U01711TZ2004PTC011237,,0
857,Kusum Healthcare Private Limited,U65929DL1997PTC085780,64.0,5000000
858,L & T Finance Limited,,,13980060
859,L G Balakrishnan & Bros Limited,L29191TZ1956PLC000257,29.0,7555000
860,L V S Power Private Limited,U40100TG1996PTC023552,,284000
861,L&T; Construction Equipment Limited,,,618000
862,L&T; Finance Holdings Limited,,,4624960
863,L&T; Hydrocarbon Engineering Limited,,,600000
864,L&T; Infrastructure Finance Company Limited,,,10000000
865,La Opala R G Limited,L26101WB1987PLC042512,26.0,347000
866,La-Fin Financial Services Private Limited,U99999MH1996PTC102913,,2500000
867,Lakeshore Hospital And Research Centre Limited,U85110KL1996PLC010260,86.0,2951000
868,Lakshmi Card Clothing Mfg. Company Private Limited,U17219TZ1960PTC000343,17.0,2700000
869,Lakshmi Cargo Company Limited,U52599TN1991PLC021857,52.0,3250000
870,Lakshmi Machine Works Limited,L29269TZ1962PLC000463,29.0,38507280
871,Lakshmi Ring Travellers (Coimbatore) Limited,U17111TZ1974PLC000712,17.0,3879242
872,Lakshya Food (India) Limited,U15122DL2007PLC164418,,1030
873,Lanco Kondapalli Power Limited,U40101TG1995PLC021459,40.0,4200000
874,Lanco Thermal Power Limited,U40109TG2002PLC038452,,730000
875,Lancor Holdings Limited,L65921TN1985PLC049092,64.0,1116275
876,Lanxess India Private Limited,U24119MH2004PTC158377,,750000
877,Lapp India Private Limited,U28999KA1996PTC020467,,15000
878,Latent View Analytics Private Limited,U72300TN2006PTC058481,,2000000
879,Laurus Labs Private Limited,U24239AP2005PTC047518,24.0,14862835
880,Laxmi Civil Enginnering Services Private Limited,U74210PN2000PTC014696,,4600000
881,Laxmi Publications Private Limited,U22219DL1994PTC063326,,350000
882,Lease Plan India Private Limited,U74899DL1983PTC015230,,834928
883,Leather Crafts (India) Private Limited,U19110TN1979PTC007701,15.0,0
884,Legris India Private Limited,U74899HR2001PTC048721,,1500000
885,Lemon Tree Land & Developers Private Limited,U45202DL2011PTC277182,,58782
886,Lg Soft India Private Limited,U85110KA1998PTC023521,,152813
887,Lgc Promochem India Private Limited,U24230KA1995PTC018443,,500000
888,Liberty Shoes Limited,L19201HR1986PLC033185,15.0,281858
889,Liebherr Machine Tools India Private Limited,U02922KA2003PTC032082,,2110000
890,Life Style International Private Limited,U52190KA1997PTC046775,47.0,12000000
891,Lifestar Pharma Private Limited,U24232DL2004PTC131232,21.0,5000000
892,Linc Pen & Plastics Ltd,L36991WB1994PLC065583,36.0,1550000
893,Lkp Finance Limited,L65990MH1984PLC032831,65.0,1750000
894,Lmj International Ltd.,U51226WB1992PLC056951,,2931500
895,Lord India Private Limited,U24295MH1985PTC037482,,5425000
896,Lotus Wireless Technologies India Private Limited,U32202AP2003PTC041908,,0
897,Louisiana Investment & Finance Private Limited,U65990MH1986PTC041752,65.0,1100000
898,Loyal Textile Mills Limited,L17111TN1946PLC001361,17.0,0
899,Lubrizol Advanced Materials India Private Limited,U24297MH1991PTC248032,24.0,1856661
900,Lucas Tvs Limited,U35999TN1961PLC004678,35.0,9400000
901,Lucy Electric India Private Limited,U31200MH1994PTC080208,,0
902,Ludhiana Beverages Private Limited,U15549PB1994PTC014071,,468000
903,Lumax Auto Technologies Limited,L31909MH1981PLC025519,31.0,2992000
904,Lumax Dk Auto Industries Limited,U34300DL1997PLC087110,29.0,1195000
905,M Pallonji Shipping Pvt Ltd,U63032MH2005PTC157051,,900178
906,M.N. Dastur & Company (P) Ltd.,U74210WB1955PTC022399,,3039000
907,M.P. Agrotonics Limited,U01409MP2003PLC016127,,620000
908,Mac Charles (India) Limited,L55101KA1979PLC003620,55.0,1230000
909,Madhu Silica Private Limited,U24299GJ1987PTC010073,,1383000
910,Madurai Power Corporation Private Limited,U40105TN1995PTC047928,,2000000
911,Mafatlal Industries Limited,L17110GJ1913PLC000035,17.0,310000
912,Magma Fincorp Limited,L51504WB1978PLC031813,51.0,461000
913,Magna Electro Castings Limited,L31103TZ1990PLC002836,31.0,81000
914,Magnet Labs Private Limited,U51397DL1998PTC093307,51.0,300000
915,Mahalakshmi Infraprojects Limited,U45203PN2000PLC015630,45.0,1000000
916,Mahalaxmi Tmt Private Limited,U27100MH2004PTC147918,27.0,0
917,Mahamaya Steel Industries Limited,L27107CT1988PLC004607,27.0,330682
918,Maharashtra Eastern Grid Power Transmission Company Limited,U40100GJ2010PLC059593,40.0,1500000
919,Maharashtra Enviro Power Limited,U40105MH2005PLC150780,,705901
920,Maharashtra State Seeds Corporation Limited,U01200MH1976SGC018990,1.0,449000
921,Mahavir Die Casters Pvt. Ltd.,U29299HR1991PTC031331,,437000
922,Mahesh Edible Oil Industries Limited,U15143DL2000PLC116763,,0
923,Maheshwari (Thaltej) Complex Private Limited,U45201GJ2002PTC041055,,16500
924,Mahima Real Estate Private Limited,U70101RJ1996PTC011675,,1200000
925,Mahindra And Mahindra Financial Services Limited,L65921MH1991PLC059642,64.0,28000000
926,Mahindra And Mahindra Limited,L65990MH1945PLC004558,65.0,26700000
927,Mahindra Cie Automotive Limited,L27100MH1999PLC121285,27.0,3390000
928,Mahindra Intertrade Limited,U51900MH1978PLC020222,51.0,3586489
929,Mahindra Logistics Limited,U63000MH2007PLC173466,63.0,1521000
930,Mahindra Residential Developers Limited,U45200TN2008PLC066292,45.0,2203000
931,Mahle Filter Systems (India) Private Limited,U74899DL1966PTC004919,74.0,1770
932,Maithan Alloys Ltd.,L27101WB1985PLC039503,27.0,10000000
933,Malabar Cements Ltd,U26941KL1978SGC002975,23.0,5100000
934,Malco Energy Limited,U31300TN2001PLC069645,31.0,2500000
935,Man Industries (India) Limited,L99999MH1988PLC047408,99.0,739000
936,Manali Petrochemicals Limited,L24294TN1986PLC013087,24.0,0
937,Manappuram Finance Limited,L65910KL1992PLC006623,64.0,43610000
938,Mangal Tirth Estate Limited,U70101TN1989PLC017386,,2500000
939,Mangala Ispat (Jaipur) Limited,U27101RJ1995PLC010259,,206000
940,Mangalam Fashions Limited,U18101WB2001PLC092764,,1500000
941,Mangalore Electricity Supply Company Limited,U40109KA2002SGC030425,40.0,400000
942,Mangalore Sez Limited,U45209KA2006PLC038590,45.0,2900000
943,Manglam Build-Developers Limited,U45201RJ2008PLC026256,,1640000
944,Manipal Global Education Services Private Limited,U74140KA2001PTC029678,74.0,4100000
945,Manish Packaging Private Limited,U25209GJ1997PTC031603,,3093000
946,Manpasand Beverages Limited,L15549GJ2010PLC063283,15.0,1205000
947,Manugraph India Limited,L29290MH1972PLC015772,29.0,700000
948,Maral Overseas Limited,L17124MP1989PLC008255,13.0,2020000
949,Marathwada Auto Compo Private Limited,U29130MH1988PTC046951,29.0,2500000
950,Marion Biotech Private Limited,U24233DL1999PTC099895,,1700000
951,Marketing Communication & Advertising Limited,U51101KA1972PLC002242,51.0,294000
952,Marketopper Securities Private Limited,U74140HR2000PTC037694,74.0,1300000
953,Marquis Technologies Private Limited,U74999MH2008PTC184709,,2500000
954,Marwah Steels Private Limited,U27105MH1980PTC022660,,1276900
955,Mashobra Resort Limited,U55101HP1995PLC017440,55.0,1133832
956,Mastercard Mobile Transactions Solutions Private Limited,U72200GJ2005PTC046802,72.0,820950
957,Matrix Comsec Private Limited,U72200GJ1998PTC034047,,1136425
958,Mayur Uniquoters Limited,L18101RJ1992PLC006952,14.0,4454000
959,Mazagon Dock Shipbuilders Limited,U35100MH1934GOI002079,35.0,4032000
960,Medall Healthcare Private Limited,U85110TN1994PTC029023,86.0,600000
961,Medi Assist India Tpa Private Limited,U85199KA1999PTC025676,85.0,0
962,Medreich Limited,U24232KA1973PLC002383,,108000000
963,Meenakshi Narayanan Investments Private Limited,U24112TN1974PTC006766,,450000
964,Meenakshi Power Private Limited,U40109TG1999PTC031814,,1973250
965,Megawin Switchgear Private Limited,U31200TZ2005PTC012211,,1350000
966,Megger (India) Private Limited,U31401MH2009FTC191227,,610000
967,Menon Bearings Limited,L29130PN1991PLC062352,29.0,1765000
968,Menon Pistons Limited,L34300MH1977PLC019823,29.0,1000000
969,Menzies Aviation Bobba (Bangalore) Private Limited,U63013KA2006PTC039761,,7923000
970,Mepco Industries Limited,U36911TN1987PLC014168,32.0,39359
971,Mercedes-Benz India Private Limited,U34102PN1994PTC083160,,5740000
972,Mercedes-Benz Research And Development India Private Limited,U73100KA1996PTC021375,,6909247
973,Meril Life Sciences Private Limited,U24239GJ2007PTC051137,,6500000
974,Merino Industries Limited,U51909WB1965PLC026556,51.0,1094000
975,Merino Panel Products Ltd,U20299WB1994PLC064386,20.0,4200000
976,Meso Private Limited,U15140MH1992PTC068508,,1197198
977,Metlloy Trading Services Private Limited,U51909DL2004PTC125629,,0
978,Metricstream Infotech (India) Private Limited,U72200KA2001PTC038330,,0
979,Metroglobal Limited,L21010MH1992PLC069527,17.0,1556000
980,Metrohm India Limited,U29130TN1997PLC037666,,1300000
981,Michell Bearings (India) Private Limited,U29299KA1993PTC014492,,1076079
982,Microchip Technology (India) Private Limited,U72200KA2000PTC026229,,0
983,Microland Limited,U85110KA1989PLC014450,86.0,985000
984,Microsoft India (R&D;) Private Limited,U72200DL1998PTC093824,72.0,31520000
985,Microsoft Research Lab India Private Limited,U73100DL2004PTC129754,72.0,1128300
986,Midas Treads (India) Private Limited,U25199KL1997PTC024585,25.0,1855980
987,Milan Laboratories (India) Private Limited,U24230MH2003PTC139736,,1400000
988,Minda Industries Limited,L74899DL1992PLC050333,74.0,752000
989,Minda Sai Limited,U31905DL1981PLC127345,31.0,956000
990,Mindarika Private Limited,U74899DL1995PTC073692,74.0,1850000
991,Mindteck (India) Limited,L30007KA1991PLC039702,30.0,1690000
992,Minex Metallurgical Company Limited,U28910MH1981PLC024161,25.0,1500000
993,Minix Holdings Private Limited,U65990GJ1999PTC035944,,4000000
994,Mink Tradecom Private Limited,U51502GJ2000PTC038388,,15000
995,Miot Hospitals Private Limited,U85110TN1994PTC026791,,3500000
996,Miraj Products Private Limited,U51909RJ1996PTC012568,,2
997,Misys Software Solutions (India) Private  Limited,,,0
998,Mita India Private Limited,U74900DL1998PTC097247,,4548000
999,Mitcon Consultancy & Engineering Services Limited,L74140PN1982PLC026933,74.0,2161860
1000,Mitsu Private Limited,U24231GJ1993PTC038905,,700000
1001,Mitsubishi Heavy Industries-Vst Diesel Engines Private Limited,U34107KA2007PTC043432,34.0,199505
1002,Mitsubishi Hitachi Power Systems India Private Limited,U29292DL2011FTC225628,29.0,993916
1003,Mixon Holdings Private Limited,U65990GJ1999PTC035945,,700000
1004,Mk Profinlease Private Limited,U65993MH2006PTC163559,65.0,1400000
1005,Mmtc - Pamp India Private Limited,U27310HR2008PTC042218,27.0,9269000
1006,Mmtc Limited,L51909DL1963GOI004033,51.0,483400000
1007,Mobis India Limited,U50300TN2005PLC056533,,7606417
1008,Mohan Overseas Private Limited,U74899DL1981PTC012014,,420000
1009,Molex (India) Private Limited,U27109KA2001PTC028945,,187369
1010,Momentive Performance Materials (India) Private Limited,U24299KA1995PTC019244,,3308940
1011,Monotech Systems Limited,U22219TN1999PLC042840,,0
1012,Montecarlo Limited,U40300GJ1995PLC025082,40.0,1111000
1013,Moody International (India) Private Limited,U74999DL2001PTC278924,,0
1014,Morarjee Textiles Limited,L52322MH1995PLC090643,52.0,3370941
1015,Motilal Oswal Financial Services Limited,L67190MH2005PLC153397,67.0,5290000
1016,Mphasis Limited,L30007KA1992PLC025294,30.0,1140000
1017,Mrc Transolutions Private Limited,U63040MH1985PTC038116,,1155000
1018,Msp Metallics Limited,U27109WB1996PLC082138,27.0,7743000
1019,Mspl Limited,U13100MH1961PLC012160,13.0,522522
1020,Mss India Private Limited,U27200MH1998PTC114831,24.0,2598461
1021,Mtl Instruments Private Limited,U33112TN1989PTC018507,,494960
1022,Mukesh Babu Financial Services Limited,L65920MH1985PLC035504,64.0,1107000
1023,Mulberry Silks Limited,U85110KA1982PLC005007,,15176000
1024,Mungi Engineers Private Limited,U28910MH2004PTC146663,,80000
1025,Munjal Showa Limited,L34101HR1985PLC020934,29.0,2833032
1026,Murudeshwar Power Corporation Limited,U85110KA1993PLC014366,86.0,1145000
1027,Music Broadcast Limited,U64200MH1999PLC137729,64.0,1154000
1028,Muthoot Capital Services Limited,L67120KL1994PLC007726,66.0,3598069
1029,Muthoot Finance Limited,L65910KL1997PLC011300,64.0,89207875
1030,Muthoot Fincorp Limited,U65929KL1997PLC011518,64.0,10357379
1031,Muthoot Vehicle & Asset Finance Limited,U65910KL1992PLC006544,64.0,200000
1032,My Healthskape Medicals Private Limited,U33100MH2003PTC139877,,3964965
1033,My Home Constructions Private Limited,U45200TG1992PTC015115,45.0,8000000
1034,My Home Industries Private Limited,U26942TG1984PTC004951,,4668000
1035,Mysore Paints And Varnish Limited,U51434KA1947SGC000503,,664778
1036,Mysore Polymers And Rubber Products Limited,U25111KA1981PLC004112,22.0,0
1037,NEO CORP INTERNATIONAL LIMITED,L24132MH1985PLC223220,20.0,3800000
1038,Nabard Financial Services Limited,U85110KA1997PLC021862,86.0,20000
1039,Nahar Capital And Financial Services Limited,L45202PB2006PLC029968,45.0,0
1040,Nahar Industrial Enterprises Limited,L15143PB1983PLC018321,10.0,0
1041,Nahar Poly Films Limited,L17115PB1988PLC008820,17.0,0
1042,Nahar Spinning Mills Ltd,L17115PB1980PLC004341,17.0,0
1043,Nandan Denim Limited,L51909GJ1994PLC022719,51.0,7828359
1044,Nanded City Development And Construction Company Limited,U45209PN2006PLC022073,45.0,750000
1045,Nandi Roller Flour Mills Private Limited,U01531KA1987PTC008762,,151000
1046,Narmada Gelatines Limited,L24111MP1961PLC016023,20.0,1772000
1047,Naroda Enviro Projects Limited,U29199GJ1995NPL027917,29.0,1481792
1048,Natco Pharma Limited,L24230TG1981PLC003201,21.0,20173000
1049,National Energy Trading And Services Limited,U40109TG2000PLC033791,,1275000
1050,National Engineering Industries Limited,U29130WB1946PLC013643,,3329000
1051,National Steel And Agro Industries Limited,L27100MH1985PLC140379,27.0,3000000
1052,National Stock Exchange Of India Ltd.,U67120MH1992PLC069769,66.0,2900000
1053,National Trust Housing Finance Limited,U65922TN1995PLC031681,64.0,150000
1054,Natraj Proteins Limited,L00153MP1990PLC006090,0.0,63650
1055,Natural Remedies Private Limited,U24232KA1998PTC023573,,122931
1056,Natural Sugar And Allied Industries Limited,U72214MH1998PLC121048,,2562539
1057,Nava Bharat Ventures Limited,L27101TG1972PLC001549,27.0,19877000
1058,Navdeep Chemicals Private Limited,U24100MH1978PTC020113,24.0,50000
1059,Navi Mumbai Sez Private Limited,U45200MH2004PTC146973,45.0,14
1060,Navin Fluorine International Limited,L24110MH1998PLC115499,20.0,4982000
1061,Navneet Education Limited,L22200MH1984PLC034055,22.0,14300000
1062,Nazareth Foods Private Limited,U15135TN2001PTC047488,,647000
1063,Ncc Limited,L72200AP1990PLC011146,72.0,970000
1064,Ncl Alltek & Seccolor Limited,U72200TG1986PLC006601,72.0,2550000
1065,Ncl Wintech India Limited,U45400TG2008PLC057474,45.0,408091
1066,Nec Technologies India Private Limited,U74899DL2005PTC142239,,3500000
1067,Nectar Beverages Private Limited,U51909DL2005PTC133382,,0
1068,Nectar Life Sciences Limited,L24232PB1995PLC016664,21.0,25930000
1069,Neelachal Ispat Nigam Ltd,U27109OR1982GOI001050,27.0,170055
1070,Neeyamo Enterprise Solutions Private Limited,U72200TN2009PTC070707,,0
1071,Nehru Place Hotels And Real Estates Private Limited,U45201DL2006PTC145558,45.0,0
1072,Nelson Global Products India Private Limited,U29112PN1999PTC013401,,1800000
1073,Neogenetics Foods Private Limited,U15122KA2011PTC060677,,0
1074,Neon Laboratories Limited,U24100MH1982PLC027493,,20694000
1075,Neptunus Power Plant Services Private Limited,U74210MH1996PTC100435,,3000000
1076,Nerul Impex Private Limited,U51100PN1999PTC133269,,1500000
1077,New Consolidated Construction Company Limited,U45202MH1946PLC005262,45.0,0
1078,Newgen Knowledge Works Private Limited,U72400TN2004PTC054226,72.0,2845068
1079,Nhdc Limited,U31200MP2000GOI014337,31.0,29502838
1080,Nidec Industrial Automation India Private Limited,,,708231
1081,Nikon India Private Limited,U74999HR2007FTC036820,,4041000
1082,Nile Limited,L25119AP1984PLC004719,22.0,1463750
1083,Nipur Chemicals Limited,U51220MH1995PLC084645,,2000000
1084,Niraj Industries Private Limited,U74899DL1980PTC011063,,120000
1085,Nirma Limited,U24240GJ1980PLC003670,20.0,66200000
1086,Nirmal Bang Securities Private Limited,U99999MH1997PTC110659,,420000
1087,Nirmal Seeds Private Limited,U01100MH1988PTC049277,,1693689
1088,Nitco Logistics Private Limited,U60231JK1964PTC000288,,1695710
1089,Nitin Spinners Limited,L17111RJ1992PLC006987,17.0,3495000
1090,Nj Indiainvest Private Limited,U67120GJ2000PTC037674,66.0,625000
1091,Nocil Limited,L99999MH1961PLC012003,99.0,2918000
1092,Noida Power Company Limited,U31200UP1992PLC014506,31.0,23066875
1093,North Eastern Development Finance Corporation Limited,U65923AS1995GOI004529,64.0,20105779
1094,North Eastern Electric Power Corpn Ltd,U40101ML1976GOI001658,40.0,20275619
1095,Northern Coalfields Limited,U10102MP1985GOI003160,10.0,401400000
1096,Nosch Labs Private Limited,U24231TG2001PTC037086,,250000
1097,Novartis Healthcare Private Limited,U15202MH1997PTC111257,10.0,5200000
1098,Novartis India Limited,L24200MH1947PLC006104,24.0,12700000
1099,Nrb Bearings Limited (Full Fledged Public Co),L29130MH1965PLC013251,29.0,1350000
1100,Nseit Limited,U72200MH1999PLC122456,72.0,51367
1101,Ntpc Bhel Power Projects Private Limited,U40102DL2008PTC177307,40.0,1859000
1102,Ntpc Limited,L40101DL1975GOI007966,40.0,984730000
1103,Ntpc-Sail Power Company Private Limited,U74899DL1999PTC098274,74.0,25219000
1104,Nuclear Power Corporation Of India Limited,U40104MH1987GOI149458,40.0,19226851
1105,Nucleus Software Exports Limited,L74899DL1989PLC034594,74.0,200000
1106,Nvidia Graphics Private Limited,U32106KA2004PTC033880,,7588950
1107,Nyk Auto Logistics (India) Private Limited,U63000MH2004PTC143860,,1350000
1108,Nyk Line (India) Private Limited,U99999MH1992PTC102550,,4042000
1109,O E N India Ltd,U31200KL1968PLC002169,31.0,1149000
1110,Obeetee Private Limited,U17226UP1932PTC000475,17.0,1200000
1111,Oc Specialities Private Limited,U24100MH2005PTC150735,,1179851
1112,Ocean Sparkle Limited,U05005TG1995PLC021217,5.0,4680000
1113,Odisha Hydro Power Corporation Limited,U40101OR1995SGC003963,40.0,135
1114,Odisha Power Generation Corporation Limited,U40104OR1984SGC001429,40.0,7089097
1115,Oerlikon Textile India Private Limited,U29261MH1994PTC076139,29.0,100000
1116,Oil India Limited,L11101AS1959GOI001148,11.0,29500000
1117,Om Metals Infraprojects Limited,L27203RJ1971PLC003414,24.0,7500000
1118,Om Telecom Logistics Private Limited,U63023DL2001PTC112366,52.0,1725000
1119,Omega Renk Bearings Private Limited,U34300MP2000PTC014435,,2200000
1120,Omni Lens Pvt Ltd,U26109GJ1993PTC019963,,147666
1121,Omnicom Media Group India Private Limited,U74300MH1973PTC016583,,0
1122,Omr Bagla Automotive Systems India Limited,U31904PN2006PLC128851,,300000
1123,Omron Automotive Components India Private Limited.,U31908HR2007PTC036926,,600000
1124,Onkar Infotech Private Limited,U72200DL2000PTC103314,,1740000
1125,Orbit Electricals Private Limited,U74999MH1971PTC015021,74.0,2000000
1126,Oren Hydrocarbons Private Limited,U73100TN1990PTC019419,,200000
1127,Organic India Private Limited,U74130UP1997PTC021420,,864635
1128,Orient Fashion Exports (India) Private Limited,U18101DL2002PTC113704,14.0,21000
1129,Orient Refractories Limited,L28113DL2010PLC210819,28.0,1572000
1130,Oriflame India Private Limited,U74899DL1994PTC061083,74.0,4500000
1131,Oswal Greentech Limited,L24112PB1981PLC031099,20.0,27200000
1132,Otsuka Chemical (India) Private Limited,U24239DL2006PTC144368,24.0,245000
1133,Overseas Polymers Private Limited,U25209MH1995PTC091368,,600000
1134,Ozone Overseas Private Limited,U51101DL1999PTC102039,51.0,1500000
1135,P N Gadgil Jewellers Private Limited,U36912PN2013PTC149288,,3000000
1136,P S Atree And Co Private Limited,U63040DL1998PTC093350,,1200000
1137,P.P. Jewellers Private Limited,U74899DL1993PTC052140,,2500000
1138,Pacific Industries Limited,L14101KA1989PLC062041,14.0,0
1139,Pai International Electronics Limited,U05190KA2005PLC035984,,1661546
1140,Palepu Pharma Private Limited,U24230TN2007PTC064220,,31100000
1141,Pan Parag India Limited,U16009UP2007PLC033152,16.0,1600000
1142,Panama Petrochem Limited,L23209GJ1982PLC005062,19.0,5777620
1143,Panasonic Energy India Company Limited,L31400GJ1972PLC002091,31.0,1505000
1144,Panasonic India Private Limited,U51395TN2006PTC060554,,19569000
1145,Panchsheel Investment Company (A Pvt.Co.With Unlimited Liability),U72100DL1973ULT006898,62.0,400000
1146,Paradeep Phosphates Ltd,U24129OR1981PLC001020,20.0,632000
1147,Parker Bullion Private Limited,U36911GJ2009PTC056996,,1751000
1148,Parker Multi-Commodities (India) Private Limited,U67120GJ1995PTC024528,66.0,100000
1149,Parle Biscuits Private Limited,U15412MH1974PTC017797,10.0,2978000
1150,Parveen Industries Pvt Ltd,U74999DL1960PTC003290,,2400
1151,Paschim Gujarat Vij Company Limited,U40102GJ2003SGC042908,40.0,430675
1152,Passionate Investment Management Private  Limited,,,4070000
1153,Patton Developers Private Limited,U51109WB1996PTC076537,51.0,2500000
1154,Pc Solutions Private Limited,U74899DL1995PTC072980,,300000
1155,Pec Limited,U74899DL1971GOI005600,74.0,5247000
1156,Peninsula Land Limited,L17120MH1871PLC000005,13.0,15800000
1157,Pennar Engineered Building Systems Limited,U45400AP2008PLC057182,,760000
1158,Pennar Industries Limited,L27109AP1975PLC001919,27.0,187000
1159,Pentel Stationery (India) Private Limited,U36991MH1999PTC120421,,1100000
1160,Petronet Cck Limited,U60300KL1998PLC012336,49.0,251000
